title,parent_task,max_xp 
C2_SimpleBashUtils,NULL,250
C3_s21_string+,C2_SimpleBashUtils,500
C4_s21_math,C2_SimpleBashUtils,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0', 'C6_s21_matrix',500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
DO1_Linux,C3_s21_string+,300
DO2_Linux Network,DO1_Linux,250
DO3_LinuxMonitoring v1.0,DO2_Linux Network,350
DO4_LinuxMonitoring v2.0,DO3_LinuxMonitoring v1.0,350
DO5_SimpleDocker,DO3_LinuxMonitoring v1.0,300
DO6_CICD,DO5_SimpleDocker,300
CPP1_s21_matrix+,C8_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrix+,350
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP5_3DViewer_v2.1,CPP4_3DViewer_v2.0,600
CPP6_3DViewer_v2.2,CPP4_3DViewer_v2.0,800
CPP7_MLP,CPP4_3DViewer_v2.0,700
CPP8_PhotoLab_v1.0,CPP4_3DViewer_v2.0,450
CPP9_MonitoringSystem,CPP4_3DViewer_v2.0,1000
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator v1.0,300
A4_Crypto,A2_SimpleNavigator v1.0,350
A5_s21_memory,A2_SimpleNavigator v1.0,400
A6_Transactions,A2_SimpleNavigator v1.0,700
A7_DNA Analyzer,A2_SimpleNavigator v1.0,800
A8_Algorithmic trading,A2_SimpleNavigator v1.0,800
SQL1_Bootcamp,C8_3DViewer_v1.0,1500
SQL2_Info21 v1.0,SQL1_Bootcamp,500
SQL3_RetailAnalitycs v1.0,SQL2_Info21 v1.0,600
